col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
29,29,29,255,153,153,153,255,0
41,41,41,255,142,142,142,255,0
41,41,41,255,59,59,59,255,0
68,68,68,255,36,36,36,255,0
131,131,131,255,135,135,135,255,0
33,33,33,255,35,35,35,255,0
62,62,62,255,34,34,34,255,0
57,57,57,255,47,47,47,255,0
28,28,28,255,40,40,40,255,0
111,111,111,255,34,34,34,255,0
31,31,31,255,34,34,34,255,0
39,39,39,255,176,176,176,255,0
31,31,31,255,30,30,30,255,0
40,40,40,255,78,78,78,255,0
33,33,33,255,105,105,105,255,0
33,33,33,255,140,140,140,255,0
80,80,80,255,39,39,39,255,0
24,24,24,255,176,176,176,255,0
36,36,36,255,35,35,35,255,0
33,33,33,255,83,83,83,255,0
29,29,29,255,177,177,177,255,0
42,42,42,255,41,41,41,255,0
47,47,47,255,4,4,4,255,0
49,49,49,255,36,36,36,255,0
30,30,30,255,114,114,114,255,0
35,35,35,255,150,150,150,255,0
88,88,88,255,37,37,37,255,0
38,38,38,255,149,149,149,255,0
31,31,31,255,115,115,115,255,0
83,83,83,255,36,36,36,255,0
33,33,33,255,33,33,33,255,0
69,69,69,255,30,30,30,255,0
32,32,32,255,37,37,37,255,0
33,33,33,255,38,38,38,255,0
41,41,41,255,52,52,52,255,0
66,66,66,255,101,101,101,255,0
41,41,41,255,102,102,102,255,0
37,37,37,255,117,117,117,255,0
44,44,44,255,115,115,115,255,0
81,81,81,255,67,67,67,255,0
43,43,43,255,50,50,50,255,0
119,119,119,255,113,113,113,255,0
37,37,37,255,168,168,168,255,0
40,40,40,255,39,39,39,255,0
33,33,33,255,36,36,36,255,0
48,48,48,255,41,41,41,255,0
50,50,50,255,39,39,39,255,0
111,111,111,255,39,39,39,255,0
33,33,33,255,91,91,91,255,0
40,40,40,255,56,56,56,255,0
34,34,34,255,34,34,34,255,0
79,79,79,255,31,31,31,255,0
97,97,97,255,173,173,173,255,0
33,33,33,255,34,34,34,255,0
37,37,37,255,37,37,37,255,0
65,65,65,255,30,30,30,255,0
88,88,88,255,38,38,38,255,0
33,33,33,255,38,38,38,255,0
72,72,72,255,38,38,38,255,0
34,34,34,255,72,72,72,255,0
54,54,54,255,50,50,50,255,0
40,40,40,255,103,103,103,255,0
104,104,104,255,38,38,38,255,0
36,36,36,255,104,104,104,255,0
88,88,88,255,173,173,173,255,0
70,70,70,255,25,25,25,255,0
106,106,106,255,192,192,192,255,0
33,33,33,255,37,37,37,255,0
77,77,77,255,31,31,31,255,0
46,46,46,255,123,123,123,255,0
41,41,41,255,35,35,35,255,0
51,51,51,255,30,30,30,255,0
31,31,31,255,36,36,36,255,0
29,29,29,255,32,32,32,255,0
50,50,50,255,143,143,143,255,0
45,45,45,255,36,36,36,255,0
32,32,32,255,141,141,141,255,0
32,32,32,255,34,34,34,255,0
97,97,97,255,30,30,30,255,0
48,48,48,255,140,140,140,255,0
70,70,70,255,74,74,74,255,0
31,31,31,255,40,40,40,255,0
36,36,36,255,37,37,37,255,0
57,57,57,255,37,37,37,255,0
30,30,30,255,36,36,36,255,0
46,46,46,255,33,33,33,255,0
42,42,42,255,40,40,40,255,0
50,50,50,255,119,119,119,255,0
38,38,38,255,63,63,63,255,0
55,55,55,255,98,98,98,255,0
34,34,34,255,36,36,36,255,0
54,54,54,255,146,146,146,255,0
46,46,46,255,37,37,37,255,0
37,37,37,255,32,32,32,255,0
52,52,52,255,158,158,158,255,0
126,126,126,255,31,31,31,255,0
31,31,31,255,37,37,37,255,0
72,72,72,255,35,35,35,255,0
76,76,76,255,39,39,39,255,0
39,39,39,255,100,100,100,255,0
30,30,30,255,34,34,34,255,0
33,33,33,255,88,88,88,255,0
137,137,137,255,30,30,30,255,0
32,32,32,255,35,35,35,255,0
33,33,33,255,129,129,129,255,0
37,37,37,255,49,49,49,255,0
33,33,33,255,108,108,108,255,0
58,58,58,255,173,173,173,255,0
34,34,34,255,34,34,34,255,0
44,44,44,255,32,32,32,255,0
117,117,117,255,66,66,66,255,0
74,74,74,255,97,97,97,255,0
33,33,33,255,41,41,41,255,0
83,83,83,255,39,39,39,255,0
110,110,110,255,94,94,94,255,0
37,37,37,255,49,49,49,255,0
71,71,71,255,46,46,46,255,0
32,32,32,255,34,34,34,255,0
36,36,36,255,157,157,157,255,0
40,40,40,255,36,36,36,255,0
89,89,89,255,171,171,171,255,0
30,30,30,255,50,50,50,255,0
41,41,41,255,35,35,35,255,0
44,44,44,255,38,38,38,255,0
45,45,45,255,23,23,23,255,0
130,130,130,255,27,27,27,255,0
70,70,70,255,39,39,39,255,0
34,34,34,255,36,36,36,255,0
32,32,32,255,109,109,109,255,0
40,40,40,255,37,37,37,255,0
35,35,35,255,31,31,31,255,0
110,110,110,255,34,34,34,255,0
132,132,132,255,29,29,29,255,0
40,40,40,255,38,38,38,255,0
88,88,88,255,36,36,36,255,0
33,33,33,255,138,138,138,255,0
65,65,65,255,37,37,37,255,0
33,33,33,255,52,52,52,255,0
86,86,86,255,69,69,69,255,0
33,33,33,255,163,163,163,255,0
33,33,33,255,83,83,83,255,0
89,89,89,255,31,31,31,255,0
71,71,71,255,34,34,34,255,0
25,25,25,255,38,38,38,255,0
34,34,34,255,52,52,52,255,0
33,33,33,255,141,141,141,255,0
37,37,37,255,159,159,159,255,0
30,30,30,255,123,123,123,255,0
39,39,39,255,161,161,161,255,0
34,34,34,255,34,34,34,255,0
112,112,112,255,37,37,37,255,0
64,64,64,255,43,43,43,255,0
70,70,70,255,36,36,36,255,0
62,62,62,255,186,186,186,255,0
62,62,62,255,121,121,121,255,0
47,47,47,255,28,28,28,255,0
38,38,38,255,131,131,131,255,0
32,32,32,255,39,39,39,255,0
24,24,24,255,64,64,64,255,0
62,62,62,255,160,160,160,255,0
91,91,91,255,32,32,32,255,0
41,41,41,255,32,32,32,255,0
40,40,40,255,45,45,45,255,0
70,70,70,255,139,139,139,255,0
31,31,31,255,34,34,34,255,0
33,33,33,255,31,31,31,255,0
38,38,38,255,34,34,34,255,0
46,46,46,255,37,37,37,255,0
36,36,36,255,37,37,37,255,0
34,34,34,255,36,36,36,255,0
32,32,32,255,171,171,171,255,0
33,33,33,255,130,130,130,255,0
46,46,46,255,174,174,174,255,0
31,31,31,255,31,31,31,255,0
33,33,33,255,37,37,37,255,0
44,44,44,255,44,44,44,255,0
32,32,32,255,36,36,36,255,0
65,65,65,255,69,69,69,255,0
60,60,60,255,33,33,33,255,0
50,50,50,255,117,117,117,255,0
36,36,36,255,40,40,40,255,0
45,45,45,255,140,140,140,255,0
69,69,69,255,138,138,138,255,0
87,87,87,255,108,108,108,255,0
42,42,42,255,52,52,52,255,0
35,35,35,255,40,40,40,255,0
36,36,36,255,40,40,40,255,0
44,44,44,255,34,34,34,255,0
38,38,38,255,78,78,78,255,0
92,92,92,255,36,36,36,255,0
34,34,34,255,37,37,37,255,0
31,31,31,255,37,37,37,255,0
101,101,101,255,33,33,33,255,0
41,41,41,255,34,34,34,255,0
41,41,41,255,150,150,150,255,0
38,38,38,255,109,109,109,255,0
46,46,46,255,113,113,113,255,0
32,32,32,255,38,38,38,255,0
51,51,51,255,47,47,47,255,0
35,35,35,255,34,34,34,255,0
34,34,34,255,73,73,73,255,0
30,30,30,255,153,153,153,255,0
30,30,30,255,169,169,169,255,0
61,61,61,255,107,107,107,255,0
58,58,58,255,158,158,158,255,0
39,39,39,255,31,31,31,255,0
102,102,102,255,35,35,35,255,0
38,38,38,255,40,40,40,255,0
32,32,32,255,117,117,117,255,0
31,31,31,255,35,35,35,255,0
29,29,29,255,18,18,18,255,0
41,41,41,255,51,51,51,255,0
32,32,32,255,34,34,34,255,0
34,34,34,255,35,35,35,255,0
108,108,108,255,125,125,125,255,0
37,37,37,255,33,33,33,255,0
