col_0,col_1,col_2
14157,7749,1
0,0,1
0,0,1
11359,9693,1
0,0,1
8659,7999,1
8368,9557,1
10745,10039,1
8723,9346,1
8847,8848,1
0,0,1
0,9489,1
8147,0,1
8503,0,1
24801,10008,1
8331,0,1
20286,0,1
11604,9202,1
8212,0,1
7975,9411,1
24513,9216,1
10372,10793,1
7674,8926,1
0,0,1
8961,19235,1
8806,0,1
0,0,1
0,26382,1
29823,9488,1
12246,42393,1
17418,8664,1
8801,17400,1
27909,9209,1
0,45814,1
8226,20711,1
34051,0,1
19213,30621,1
0,10652,1
13627,11945,1
0,8927,1
23228,8573,1
7634,8816,1
13136,18869,1
0,0,1
8465,0,1
8335,0,1
0,0,1
21420,8994,1
8006,0,1
0,6625,1
8634,9153,1
24583,0,1
30839,8871,1
0,0,1
8562,8383,1
10390,8850,1
8606,0,1
9657,17176,1
22466,7902,1
0,10158,1
8193,9578,1
12209,0,1
22745,9604,1
0,27541,1
0,0,1
19526,15776,1
0,0,1
7397,0,1
0,8634,1
0,9780,1
0,0,1
0,0,1
0,0,1
0,0,1
10699,9192,1
10269,0,1
0,9233,1
8071,0,1
7833,0,1
8238,22635,1
9072,0,1
24485,0,1
0,0,1
9378,0,1
27481,9857,1
25184,8512,1
8168,0,1
10133,10713,1
28617,0,1
0,34238,1
8458,0,1
15159,8473,1
8503,9874,1
8584,0,1
0,8893,1
7976,0,1
15195,9227,1
0,10491,1
10288,0,1
8714,0,1
0,10028,1
0,9299,1
0,0,1
16042,0,1
0,9099,1
35306,8366,1
0,0,1
8953,8923,1
8238,9086,1
28047,0,1
8690,8328,1
0,10120,1
0,10049,1
0,0,1
0,10049,1
7932,40851,1
0,9017,1
8155,10118,1
0,0,1
0,0,1
9221,10123,1
0,46723,1
10674,0,1
0,44947,1
8068,8903,1
12574,44297,1
8218,9315,1
9663,0,1
8122,0,1
23155,8914,1
0,12272,1
0,0,1
21854,9570,1
0,9342,1
14144,0,1
8705,8612,1
0,0,1
8807,0,1
27218,8179,1
